trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
5	12	FocusPrevious	2	0	0	0	0	0	0	0	1	1	-1	2	-1	true	true	1
6	1	ClearSelection	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
6	2	ReplaceDocument	0	0	0	0	1	0	0	0	0	0	0	1	-1	true	true	3
6	3	ClearSelection	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
6	4	Select	2	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
6	5	CapturePointer	0	1	0	0	0	0	0	0	0	0	0	1	1	true	true	0
6	6	Select	1	1	0	0	0	0	0	0	0	0	0	1	1	true	true	1
6	7	FocusNext	0	0	0	0	0	0	0	0	1	0	0	1	1	true	true	0
6	8	ReleasePointer	2	1	0	0	0	0	0	0	1	0	0	1	1	true	true	1
6	9	CapturePointer	0	2	0	0	0	0	0	0	1	0	0	1	2	true	true	0
6	10	Select	1	1	0	0	0	0	0	0	1	0	0	1	2	true	true	1
6	11	ReleasePointer	1	2	0	0	0	0	0	0	1	0	0	1	2	true	true	1
6	12	SetCamera	2	1	-1	0	0	0	0	0	1	0	0	1	2	true	true	1
7	1	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
7	2	CapturePointer	1	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
7	3	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
7	4	FocusPrevious	1	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
7	5	ClearSelection	1	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	1
7	6	SetCamera	1	1	-1	1	0	0	0	0	2	0	0	1	-1	true	true	1
7	7	CapturePointer	0	2	0	0	0	0	0	0	2	0	0	1	2	true	true	0
7	8	FocusNext	1	0	0	0	0	0	0	0	2	0	0	1	2	true	true	1
7	9	Select	0	1	0	0	0	0	0	1	1	0	0	1	2	true	true	0
7	10	Select	1	0	0	0	0	0	0	1	1	0	0	1	2	true	true	1
7	11	SetCamera	1	1	-1	0	0	0	0	1	1	0	0	1	2	true	true	1
7	12	ReplaceDocument	0	1	1	1	1	0	1	1	1	0	0	1	2	true	true	0
8	1	Select	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	2
8	2	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	3	ReplaceDocument	2	1	1	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	4	ClearSelection	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	5	FocusPrevious	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	6	ClearSelection	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
8	7	ReplaceDocument	1	2	1	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	8	ReplaceDocument	1	0	1	0	1	0	0	0	0	0	0	1	-1	true	true	1
8	9	ReplaceDocument	0	3	1	0	1	0	3	0	0	0	0	1	-1	true	false	0
8	10	ClearSelection	0	0	0	0	0	0	3	0	0	0	0	1	-1	true	false	1
8	11	Select	1	0	0	0	0	0	3	0	0	0	0	1	-1	true	false	1
8	12	ClearSelection	1	0	0	0	0	0	3	0	0	0	0	1	-1	true	false	1
9	1	ClearSelection	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
9	2	FocusPrevious	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
9	3	CapturePointer	0	2	0	0	0	0	0	0	0	0	0	1	2	true	true	0
9	4	Select	2	0	0	0	0	0	0	0	0	0	0	1	2	true	true	1
9	5	ReplaceDocument	1	3	0	1	1	0	0	0	0	0	0	1	2	true	true	1
9	6	SetCamera	0	1	-1	0	0	0	0	0	0	0	0	1	2	true	true	4
9	7	SetCamera	2	1	-1	2	0	0	0	0	0	0	0	1	2	true	true	1
9	8	ReleasePointer	0	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	0
9	9	CapturePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
