trace	step	action	arg1	arg2	arg3	arg4	arg5	arg6	revision	selected	focused	panX	panY	zoom	captured	objectAAvailable	objectBAvailable	outcome
5	11	CapturePointer	0	2	0	0	0	0	3	0	0	1	-1	2	-1	true	false	1
5	12	ReplaceScene	3	0	0	1	-1	0	3	0	0	1	-1	2	-1	true	false	3
6	1	ReplaceScene	3	1	1	1	-1	2	3	0	0	1	-1	2	-1	true	true	0
6	2	ReleasePointer	1	2	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	3	ClearSelection	2	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	4	Select	1	2	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	5	FocusPrevious	2	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	6	ReleasePointer	1	1	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	7	ClearSelection	1	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	8	Select	1	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	9	SetCamera	1	1	-1	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	10	Select	0	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	11	FocusPrevious	1	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
6	12	FocusPrevious	0	0	0	0	0	0	3	0	0	1	-1	2	-1	true	true	1
7	1	CapturePointer	0	1	0	0	0	0	0	0	0	0	0	1	1	true	true	0
7	2	SetCamera	2	1	-1	2	0	0	0	0	0	0	0	1	1	true	true	1
7	3	ReplaceScene	2	1	0	1	-1	2	2	0	0	1	-1	2	1	true	false	0
7	4	ReleasePointer	0	2	0	0	0	0	2	0	0	1	-1	2	1	true	false	1
7	5	ReleasePointer	1	2	0	0	0	0	2	0	0	1	-1	2	1	true	false	1
7	6	ClearSelection	2	0	0	0	0	0	2	0	0	1	-1	2	1	true	false	0
7	7	ReplaceScene	3	0	0	1	-1	1	3	0	0	1	-1	1	1	false	false	0
7	8	CapturePointer	0	1	0	0	0	0	3	0	0	1	-1	1	1	false	false	1
7	9	CapturePointer	1	1	0	0	0	0	3	0	0	1	-1	1	1	false	false	1
7	10	ReleasePointer	0	2	0	0	0	0	3	0	0	1	-1	1	1	false	false	1
7	11	FocusNext	1	0	0	0	0	0	3	0	0	1	-1	1	1	false	false	1
7	12	ReleasePointer	0	2	0	0	0	0	3	0	0	1	-1	1	1	false	false	1
8	1	Select	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	2	Select	0	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	2
8	3	FocusNext	2	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
8	4	ReplaceScene	2	1	1	1	-1	2	2	0	0	1	-1	2	-1	true	true	0
8	5	Select	1	1	0	0	0	0	2	0	0	1	-1	2	-1	true	true	1
8	6	SetCamera	1	1	-1	1	0	0	2	0	0	1	-1	2	-1	true	true	1
8	7	CapturePointer	2	1	0	0	0	0	2	0	0	1	-1	2	1	true	true	0
8	8	FocusNext	1	0	0	0	0	0	2	0	0	1	-1	2	1	true	true	1
8	9	ReplaceScene	1	1	0	1	-1	2	2	0	0	1	-1	2	1	true	true	3
8	10	FocusNext	2	0	0	0	0	0	2	0	1	1	-1	2	1	true	true	0
8	11	SetCamera	2	1	-1	0	0	0	2	0	1	1	-1	2	1	true	true	4
8	12	SetCamera	0	1	-1	0	0	0	2	0	1	1	-1	2	1	true	true	1
9	1	FocusPrevious	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
9	2	FocusPrevious	0	0	0	0	0	0	0	0	1	0	0	1	-1	true	true	0
9	3	SetCamera	2	1	-1	0	0	0	0	0	1	0	0	1	-1	true	true	1
9	4	CapturePointer	1	1	0	0	0	0	0	0	1	0	0	1	-1	true	true	1
9	5	FocusNext	0	0	0	0	0	0	0	0	2	0	0	1	-1	true	true	0
9	6	ReplaceScene	2	1	0	1	-1	1	2	0	0	1	-1	1	-1	true	false	0
9	7	ClearSelection	2	0	0	0	0	0	2	0	0	1	-1	1	-1	true	false	0
9	8	ReplaceScene	3	1	1	1	-1	0	2	0	0	1	-1	1	-1	true	false	6
9	9	CapturePointer	1	1	0	0	0	0	2	0	0	1	-1	1	-1	true	false	1
9	10	ReleasePointer	0	1	0	0	0	0	2	0	0	1	-1	1	-1	true	false	1
9	11	ReleasePointer	1	2	0	0	0	0	2	0	0	1	-1	1	-1	true	false	1
9	12	Select	0	1	0	0	0	0	2	0	0	1	-1	1	-1	true	false	1
10	1	ReleasePointer	0	1	0	0	0	0	0	0	0	0	0	1	-1	true	true	5
10	2	FocusNext	1	0	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	3	ReleasePointer	2	2	0	0	0	0	0	0	0	0	0	1	-1	true	true	1
10	4	Select	0	1	0	0	0	0	0	1	1	0	0	1	-1	true	true	0
10	5	FocusPrevious	1	0	0	0	0	0	0	1	1	0	0	1	-1	true	true	1
10	6	Select	2	0	0	0	0	0	0	1	1	0	0	1	-1	true	true	1
10	7	Select	1	0	0	0	0	0	0	1	1	0	0	1	-1	true	true	1
10	8	CapturePointer	1	1	0	0	0	0	0	1	1	0	0	1	-1	true	true	1
10	9	FocusPrevious	1	0	0	0	0	0	0	1	1	0	0	1	-1	true	true	1
10	10	FocusNext	2	0	0	0	0	0	0	1	1	0	0	1	-1	true	true	1
10	11	FocusPrevious	0	0	0	0	0	0	0	1	2	0	0	1	-1	true	true	0
