sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-localized-update-damage-scoped-001,timing/localized-update,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,25.433,readback-free,included,,raw/timing-localized-update-damage-scoped.csv
2,feature158-20260618152718-timing-localized-update-damage-scoped-002,timing/localized-update,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,22.573,readback-free,included,,raw/timing-localized-update-damage-scoped.csv
3,feature158-20260618152718-timing-localized-update-damage-scoped-003,timing/localized-update,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,28.019,readback-free,included,,raw/timing-localized-update-damage-scoped.csv
4,feature158-20260618152718-timing-localized-update-damage-scoped-004,timing/localized-update,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,30.194,readback-free,included,,raw/timing-localized-update-damage-scoped.csv
5,feature158-20260618152718-timing-localized-update-damage-scoped-005,timing/localized-update,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,33.068,readback-free,included,,raw/timing-localized-update-damage-scoped.csv
