sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-overlap-full-redraw-001,timing/overlap,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,27.983,readback-free,included,,raw/timing-overlap-full-redraw.csv
2,feature158-20260618152718-timing-overlap-full-redraw-002,timing/overlap,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,23.882,readback-free,included,,raw/timing-overlap-full-redraw.csv
3,feature158-20260618152718-timing-overlap-full-redraw-003,timing/overlap,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,25.881,readback-free,included,,raw/timing-overlap-full-redraw.csv
4,feature158-20260618152718-timing-overlap-full-redraw-004,timing/overlap,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,40.289,readback-free,included,,raw/timing-overlap-full-redraw.csv
5,feature158-20260618152718-timing-overlap-full-redraw-005,timing/overlap,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,26.153,readback-free,included,,raw/timing-overlap-full-redraw.csv
