sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-edge-clipping-full-redraw-001,timing/edge-clipping,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,27.069,readback-free,included,,raw/timing-edge-clipping-full-redraw.csv
2,feature158-20260618152718-timing-edge-clipping-full-redraw-002,timing/edge-clipping,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,31.394,readback-free,included,,raw/timing-edge-clipping-full-redraw.csv
3,feature158-20260618152718-timing-edge-clipping-full-redraw-003,timing/edge-clipping,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,34.903,readback-free,included,,raw/timing-edge-clipping-full-redraw.csv
4,feature158-20260618152718-timing-edge-clipping-full-redraw-004,timing/edge-clipping,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,30.55,readback-free,included,,raw/timing-edge-clipping-full-redraw.csv
5,feature158-20260618152718-timing-edge-clipping-full-redraw-005,timing/edge-clipping,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,28.142,readback-free,included,,raw/timing-edge-clipping-full-redraw.csv
