sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-movement-old-new-full-redraw-001,timing/movement-old-new,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,25.676,readback-free,included,,raw/timing-movement-old-new-full-redraw.csv
2,feature158-20260618152718-timing-movement-old-new-full-redraw-002,timing/movement-old-new,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,31.358,readback-free,included,,raw/timing-movement-old-new-full-redraw.csv
3,feature158-20260618152718-timing-movement-old-new-full-redraw-003,timing/movement-old-new,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,24.031,readback-free,included,,raw/timing-movement-old-new-full-redraw.csv
4,feature158-20260618152718-timing-movement-old-new-full-redraw-004,timing/movement-old-new,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,33.824,readback-free,included,,raw/timing-movement-old-new-full-redraw.csv
5,feature158-20260618152718-timing-movement-old-new-full-redraw-005,timing/movement-old-new,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,27.286,readback-free,included,,raw/timing-movement-old-new-full-redraw.csv
