sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-movement-old-new-damage-scoped-001,timing/movement-old-new,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,40.066,readback-free,included,,raw/timing-movement-old-new-damage-scoped.csv
2,feature158-20260618152718-timing-movement-old-new-damage-scoped-002,timing/movement-old-new,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,33.421,readback-free,included,,raw/timing-movement-old-new-damage-scoped.csv
3,feature158-20260618152718-timing-movement-old-new-damage-scoped-003,timing/movement-old-new,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,25.63,readback-free,included,,raw/timing-movement-old-new-damage-scoped.csv
4,feature158-20260618152718-timing-movement-old-new-damage-scoped-004,timing/movement-old-new,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,31.887,readback-free,included,,raw/timing-movement-old-new-damage-scoped.csv
5,feature158-20260618152718-timing-movement-old-new-damage-scoped-005,timing/movement-old-new,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-movement-old-new,27.625,readback-free,included,,raw/timing-movement-old-new-damage-scoped.csv
