sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-no-change-damage-scoped-001,timing/no-change,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-no-change,33.898,readback-free,included,,raw/timing-no-change-damage-scoped.csv
2,feature158-20260618152718-timing-no-change-damage-scoped-002,timing/no-change,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-no-change,43.453,readback-free,included,,raw/timing-no-change-damage-scoped.csv
3,feature158-20260618152718-timing-no-change-damage-scoped-003,timing/no-change,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-no-change,40.18,readback-free,included,,raw/timing-no-change-damage-scoped.csv
4,feature158-20260618152718-timing-no-change-damage-scoped-004,timing/no-change,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-no-change,28.725,readback-free,included,,raw/timing-no-change-damage-scoped.csv
5,feature158-20260618152718-timing-no-change-damage-scoped-005,timing/no-change,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-no-change,29.195,readback-free,included,,raw/timing-no-change-damage-scoped.csv
