sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-overlap-damage-scoped-001,timing/overlap,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,25.366,readback-free,included,,raw/timing-overlap-damage-scoped.csv
2,feature158-20260618152718-timing-overlap-damage-scoped-002,timing/overlap,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,34.087,readback-free,included,,raw/timing-overlap-damage-scoped.csv
3,feature158-20260618152718-timing-overlap-damage-scoped-003,timing/overlap,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,30.889,readback-free,included,,raw/timing-overlap-damage-scoped.csv
4,feature158-20260618152718-timing-overlap-damage-scoped-004,timing/overlap,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,27.379,readback-free,included,,raw/timing-overlap-damage-scoped.csv
5,feature158-20260618152718-timing-overlap-damage-scoped-005,timing/overlap,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-overlap,24.682,readback-free,included,,raw/timing-overlap-damage-scoped.csv
