sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-edge-clipping-damage-scoped-001,timing/edge-clipping,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,25.334,readback-free,included,,raw/timing-edge-clipping-damage-scoped.csv
2,feature158-20260618152718-timing-edge-clipping-damage-scoped-002,timing/edge-clipping,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,32.515,readback-free,included,,raw/timing-edge-clipping-damage-scoped.csv
3,feature158-20260618152718-timing-edge-clipping-damage-scoped-003,timing/edge-clipping,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,25.946,readback-free,included,,raw/timing-edge-clipping-damage-scoped.csv
4,feature158-20260618152718-timing-edge-clipping-damage-scoped-004,timing/edge-clipping,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,33.491,readback-free,included,,raw/timing-edge-clipping-damage-scoped.csv
5,feature158-20260618152718-timing-edge-clipping-damage-scoped-005,timing/edge-clipping,damage-scoped,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-edge-clipping,23.31,readback-free,included,,raw/timing-edge-clipping-damage-scoped.csv
