sample-index,sample-id,scenario-id,path,run-id,host-profile-id,package-version,scenario-definition-id,duration-ms,measurement-policy,inclusion-status,exclusion-reason,artifact-path
1,feature158-20260618152718-timing-localized-update-full-redraw-001,timing/localized-update,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,33.262,readback-free,included,,raw/timing-localized-update-full-redraw.csv
2,feature158-20260618152718-timing-localized-update-full-redraw-002,timing/localized-update,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,31.949,readback-free,included,,raw/timing-localized-update-full-redraw.csv
3,feature158-20260618152718-timing-localized-update-full-redraw-003,timing/localized-update,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,33.709,readback-free,included,,raw/timing-localized-update-full-redraw.csv
4,feature158-20260618152718-timing-localized-update-full-redraw-004,timing/localized-update,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,21.404,readback-free,included,,raw/timing-localized-update-full-redraw.csv
5,feature158-20260618152718-timing-localized-update-full-redraw-005,timing/localized-update,full-redraw,feature158-20260618152718,probe-08a47c01,local-harness,feature156-required-v1:timing-localized-update,31.286,readback-free,included,,raw/timing-localized-update-full-redraw.csv
